"(7, 1, 15, -16.0)","{1: 0.06561, 0: 0.09}"
"(6, 1, 15, -16.0)","{0: 0.271, 1: 0.09}"
"(6, 1, 15, 0.0)","{1: 0.34390000000000004, 0: 0.2539}"
"(6, 1, 15, 1.0)","{1: 0.19, 0: 0.1}"
"(6, 1, 14, 2.0)","{0: 0.17099999999999999, 1: 0.271}"
"(5, 1, 13, 0.0)","{1: 0.19, 0: 0.181}"
"(5, 1, 13, 1.0)","{1: 0.271, 0: 0.1}"
"(5, 1, 13, 2.0)","{1: 0.1, 0: 0.0}"
"(5, 1, 12, 3.0)","{0: 0.19, 1: 0.1}"
"(5, 1, 12, -8.0)","{0: 0.4695327900000001, 1: 0.1916541}"
"(5, 1, 12, 0.0)","{1: 0.40951000000000004, 0: 0.1}"
"(5, 1, 12, 1.0)","{0: 0.0, 1: 0.17099999999999999}"
"(5, 1, 11, -8.0)","{1: 0.4626541, 0: 0.2539}"
"(5, 1, 11, -7.0)","{0: 0.1, 1: 0.1}"
"(4, 1, 11, -8.0)","{1: 0.6513215599000001, 0: 0.39565900000000004}"
"(4, 1, 11, -7.0)",{1: 0.34390000000000004}
"(4, 1, 10, -6.0)",{0: 0.09}
"(3, 1, 9, 0.0)","{1: 0.271, 0: 0.1}"
"(3, 1, 9, 1.0)",{1: 0.271}
"(3, 1, 9, 2.0)",{1: 0.19}
"(3, 1, 9, 3.0)","{1: 0.1, 0: 0.0}"
"(3, 1, 8, 0.0)",{1: 0.09}
"(3, 1, 8, 1.0)","{0: 0.1, 1: 0.0}"
"(1, 1, 6, -7.0)","{1: 0.09, 0: 0.19}"
"(1, 1, 6, -6.0)",{0: 0.19}
"(0, 1, 6, -8.0)","{0: 0.06862879000000001, 1: 0.68618940391}"
"(0, 1, 5, 0.0)","{0: 0.5695327900000001, 1: 0.271}"
"(0, 1, 5, -8.0)","{1: -0.04568540994414899, 0: -0.7564745804006655}"
"(7, 5, 15, -7.0)","{0: 0.1, 1: 0.19}"
